tozasertib_c,hesperadin_c,0.153
tozasertib_c,hesperadin_i,0.153
tozasertib_c,ZM447439_c,0.144
tozasertib_c,barasertib_c,0.118
tozasertib_c,barasertib_hQPA_c,0.121
tozasertib_c,GSK1070916_c,0.123
tozasertib_c,compound1_21742770_c,0.176
tozasertib_c,AT9283_c,0.126
tozasertib_c,AT9283_i,0.126
tozasertib_c,tinengotinib_c,0.159
tozasertib_c,tinengotinib_i,0.159
tozasertib_c,AMG900_c,0.109
tozasertib_c,compound46_16451062_c,0.122
tozasertib_c,ilorasertib_c,0.118
tozasertib_c,ibcasertib_c,0.099
tozasertib_c,MLN_8054_c,0.133
tozasertib_c,dubermatinib_c,0.164
tozasertib_c,JNJ_7706621_c,0.146
tozasertib_c,compound25_20855207_c,0.119
tozasertib_c,compound25_20855207_i,0.119
tozasertib_c,MK5108_c,0.129
tozasertib_c,XMD12_c,0.151
tozasertib_c,XMD12_i,0.151
tozasertib_c,SU6656_c,0.096
tozasertib_c,SU6656_i,0.096
tozasertib_c,cenisertib_c,0.223
tozasertib_c,cenisertib_i,0.223
tozasertib_c,SNS314_c,0.116
tozasertib_c,NU6140_c,0.142
tozasertib_c,NIKinhibitor12f_c,0.108
tozasertib_c,compound38_20817473_c,0.12
tozasertib_c,compound38_20817473_i,0.12
tozasertib_c,KW2449_c,0.115
tozasertib_c,KW2449_i,0.115
tozasertib_c,TAK632_c,0.132
tozasertib_c,danusertib_c,0.187
tozasertib_c,danusertib_i,0.187
tozasertib_c,VIC1911_c,0.158
tozasertib_c,VIC1911_i,0.158
tozasertib_c,aurkinhibitorII_c,0.121
tozasertib_c,GSK2334470_c,0.169
tozasertib_c,GSK2334470_i,0.169
tozasertib_c,compound10_19402633_c,0.158
tozasertib_c,GSK2646264_c,0.075
hesperadin_c,hesperadin_i,1.0
hesperadin_c,ZM447439_c,0.172
hesperadin_c,barasertib_c,0.097
hesperadin_c,barasertib_hQPA_c,0.094
hesperadin_c,GSK1070916_c,0.159
hesperadin_c,compound1_21742770_c,0.102
hesperadin_c,AT9283_c,0.164
hesperadin_c,AT9283_i,0.164
hesperadin_c,tinengotinib_c,0.133
hesperadin_c,tinengotinib_i,0.133
hesperadin_c,AMG900_c,0.08
hesperadin_c,compound46_16451062_c,0.102
hesperadin_c,ilorasertib_c,0.116
hesperadin_c,ibcasertib_c,0.098
hesperadin_c,MLN_8054_c,0.131
hesperadin_c,dubermatinib_c,0.196
hesperadin_c,JNJ_7706621_c,0.1
hesperadin_c,compound25_20855207_c,0.069
hesperadin_c,compound25_20855207_i,0.069
hesperadin_c,MK5108_c,0.098
hesperadin_c,XMD12_c,0.117
hesperadin_c,XMD12_i,0.117
hesperadin_c,SU6656_c,0.162
hesperadin_c,SU6656_i,0.162
hesperadin_c,cenisertib_c,0.082
hesperadin_c,cenisertib_i,0.082
hesperadin_c,SNS314_c,0.085
hesperadin_c,NU6140_c,0.124
hesperadin_c,NIKinhibitor12f_c,0.073
hesperadin_c,compound38_20817473_c,0.155
hesperadin_c,compound38_20817473_i,0.155
hesperadin_c,KW2449_c,0.121
hesperadin_c,KW2449_i,0.121
hesperadin_c,TAK632_c,0.071
hesperadin_c,danusertib_c,0.121
hesperadin_c,danusertib_i,0.121
hesperadin_c,VIC1911_c,0.132
hesperadin_c,VIC1911_i,0.132
hesperadin_c,aurkinhibitorII_c,0.154
hesperadin_c,GSK2334470_c,0.115
hesperadin_c,GSK2334470_i,0.115
hesperadin_c,compound10_19402633_c,0.156
hesperadin_c,GSK2646264_c,0.067
hesperadin_i,ZM447439_c,0.172
hesperadin_i,barasertib_c,0.097
hesperadin_i,barasertib_hQPA_c,0.094
hesperadin_i,GSK1070916_c,0.159
hesperadin_i,compound1_21742770_c,0.102
hesperadin_i,AT9283_c,0.164
hesperadin_i,AT9283_i,0.164
hesperadin_i,tinengotinib_c,0.133
hesperadin_i,tinengotinib_i,0.133
hesperadin_i,AMG900_c,0.08
hesperadin_i,compound46_16451062_c,0.102
hesperadin_i,ilorasertib_c,0.116
hesperadin_i,ibcasertib_c,0.098
hesperadin_i,MLN_8054_c,0.131
hesperadin_i,dubermatinib_c,0.196
hesperadin_i,JNJ_7706621_c,0.1
hesperadin_i,compound25_20855207_c,0.069
hesperadin_i,compound25_20855207_i,0.069
hesperadin_i,MK5108_c,0.098
